Postinumero,Postinumeroalueen nimi,Postinumeroalueen pinta-ala,"Asukkaat yhteensä, 2018 (HE)","Miehet, 2018 (HE)","Naiset, 2018 (HE)","Asukkaiden keski-ikä, 2018 (HE)","0-2-vuotiaat, 2018 (HE)","3-6-vuotiaat, 2018 (HE)","Perusasteen suorittaneet, 2018 (KO)","Koulutetut yhteensä, 2018 (KO)","Ylioppilastutkinnon suorittaneet, 2018 (KO)","Ammatillisen tutkinnon suorittaneet, 2018 (KO)","Alemman korkeakoulututkinnon suorittaneet, 2018 (KO)","Ylemmän korkeakoulututkinnon suorittaneet, 2018 (KO)","Asukkaiden keskitulot, 2017 (HR)","Asukkaiden mediaanitulot, 2017 (HR)","Alimpaan tuloluokkaan kuuluvat asukkaat, 2017 (HR)","Keskimmäiseen tuloluokkaan kuuluvat asukkaat, 2017 (HR)","Ylimpään tuloluokkaan kuuluvat asukkaat, 2017 (HR)","Taloudet yhteensä, 2018 (TE)","Talouksien keskikoko, 2018 (TE)","Asumisväljyys, 2018 (TE)","Nuorten yksinasuvien taloudet, 2018 (TE)","Lapsettomat nuorten parien taloudet, 2018 (TE)","Lapsitaloudet, 2018 (TE)","Pienten lasten taloudet, 2018 (TE)","Alle kouluikäisten lasten taloudet, 2018 (TE)","Kouluikäisten lasten taloudet, 2018 (TE)","Teini-ikäisten lasten taloudet, 2018 (TE)","Aikuisten taloudet, 2018 (TE)","Eläkeläisten taloudet, 2018 (TE)","Talouksien keskitulot, 2017 (TR)","Talouksien mediaanitulot, 2017 (TR)","Alimpaan tuloluokkaan kuuluvat taloudet, 2017 (TR)","Keskimmäiseen tuloluokkaan kuuluvat taloudet, 2017 (TR)","Ylimpään tuloluokkaan kuuluvat taloudet, 2017 (TR)","Työpaikat yhteensä, 2017 (TP)","Asukkaat yhteensä, 2017 (PT)","Työlliset, 2017 (PT)","Työttömät, 2017 (PT)","Lapset 0-14 -vuotiaat, 2017 (PT)","Opiskelijat, 2017 (PT)","Eläkeläiset, 2017 (PT)","Muut, 2017 (PT)",postitoimipaikka,postitoimipaikka_sv,lyhenne,lyhenne_sv,alkupvm,loppupvm,postinumerokunta,laaninimi_sv,kuntaalkupvm,elynimi_en,laanikoodi,avinimi_sv,kielisuhdenimi_sv,laaninimi,kuntaryhmanimi_sv,kuntanimi,maakuntanimi_en,avinimi_en,maakuntakoodi,seutukuntakoodi,kuntanimi_en,kuntaryhmanimi_en,elynimi_sv,kielisuhdenimi,seutukuntanimi_en,kuntakoodi,elykoodi,elynimi,kuntanimi_sv,laaninimi_en,seutukuntanimi_sv,kielisuhdekoodi,maakuntanimi,avinimi,kuntaryhmanimi,kuntaloppupvm,kielisuhdenimi_en,avikoodi,seutukuntanimi,maakuntanimi_sv,kuntaryhmakoodi,frequency
00100,Helsinki Keskusta - Etu-Töölö (Helsinki),2353278,18427,8673,9754,41,394,514,1659,14614,2616,3027,2983,5988,42196,27577,2772,6778,6609,10301,"1,8","38,7",2126,874,1339,363,697,555,397,6644,2358,66626,40603,1682,4147,4376,50264,18284,10340,702,1863,1212,3350,817,HELSINKI,HELSINGFORS,HKI,HFORS,1986-01-01,NULL,091,NULL,1990-01-01,Uusimaa ELY Centre,NULL,Södra Finlands Regionalförvaltningsverk,Tvåspråkiga kommuner med finska som flertalets språk,NULL,Urbana kommuner,Helsinki,Uusimaa,Southern Finland AVI,1,11,Helsinki,Urban municipalities,NTM-centralen i Nyland,"Kaksikielinen kunta, enemmistön kieli on suomi",NULL,91,1,Uudenmaan ELY-keskus,Helsingfors,NULL,Helsingfors,1,Uusimaa,Etelä-Suomen Aluehallintovirasto,Kaupunkimaiset kunnat,NULL,Bilingual municipality with Finnish-speaking majority,1,Helsinki,Nyland,1,514
00120,Punavuori (Helsinki),414010,7161,3368,3793,40,155,227,679,5523,1062,1216,1040,2205,41657,27523,1096,2508,2566,3961,"1,8","39,5",748,314,593,143,289,246,192,2504,881,65484,41388,625,1572,1736,7880,7108,3984,273,830,402,1230,389,HELSINKI,HELSINGFORS,HKI,HFORS,1998-04-09,NULL,091,NULL,1990-01-01,Uusimaa ELY Centre,NULL,Södra Finlands Regionalförvaltningsverk,Tvåspråkiga kommuner med finska som flertalets språk,NULL,Urbana kommuner,Helsinki,Uusimaa,Southern Finland AVI,1,11,Helsinki,Urban municipalities,NTM-centralen i Nyland,"Kaksikielinen kunta, enemmistön kieli on suomi",NULL,91,1,Uudenmaan ELY-keskus,Helsingfors,NULL,Helsingfors,1,Uusimaa,Etelä-Suomen Aluehallintovirasto,Kaupunkimaiset kunnat,NULL,Bilingual municipality with Finnish-speaking majority,1,Helsinki,Nyland,1,227
00130,Kaartinkaupunki (Helsinki),428960,1523,735,788,41,41,47,131,1188,245,234,190,519,57766,30479,246,443,618,814,"1,9","43,0",123,53,130,40,70,47,42,500,187,92536,48082,136,257,425,10886,1508,838,41,165,111,263,90,HELSINKI,HELSINGFORS,HKI,HFORS,1986-01-01,NULL,091,NULL,1990-01-01,Uusimaa ELY Centre,NULL,Södra Finlands Regionalförvaltningsverk,Tvåspråkiga kommuner med finska som flertalets språk,NULL,Urbana kommuner,Helsinki,Uusimaa,Southern Finland AVI,1,11,Helsinki,Urban municipalities,NTM-centralen i Nyland,"Kaksikielinen kunta, enemmistön kieli on suomi",NULL,91,1,Uudenmaan ELY-keskus,Helsingfors,NULL,Helsingfors,1,Uusimaa,Etelä-Suomen Aluehallintovirasto,Kaupunkimaiset kunnat,NULL,Bilingual municipality with Finnish-speaking majority,1,Helsinki,Nyland,1,47
00140,Kaivopuisto - Ullanlinna (Helsinki),931841,7921,3586,4335,41,216,254,713,6087,1144,1296,1167,2480,53555,29439,1127,2562,3078,4414,"1,8","41,3",761,325,702,194,353,294,205,2628,1095,82599,42776,693,1656,2055,2684,7865,4158,261,947,479,1560,460,HELSINKI,HELSINGFORS,HKI,HFORS,1988-10-01,NULL,091,NULL,1990-01-01,Uusimaa ELY Centre,NULL,Södra Finlands Regionalförvaltningsverk,Tvåspråkiga kommuner med finska som flertalets språk,NULL,Urbana kommuner,Helsinki,Uusimaa,Southern Finland AVI,1,11,Helsinki,Urban municipalities,NTM-centralen i Nyland,"Kaksikielinen kunta, enemmistön kieli on suomi",NULL,91,1,Uudenmaan ELY-keskus,Helsingfors,NULL,Helsingfors,1,Uusimaa,Etelä-Suomen Aluehallintovirasto,Kaupunkimaiset kunnat,NULL,Bilingual municipality with Finnish-speaking majority,1,Helsinki,Nyland,1,254
00150,Eira - Hernesaari (Helsinki),1367328,9385,4324,5061,40,238,281,981,7323,1382,1636,1512,2793,41564,26546,1431,3753,3224,5736,"1,6","34,3",1429,432,704,218,407,285,168,3940,1107,60355,35162,1101,2447,2211,5672,9496,5514,438,972,535,1539,498,HELSINKI,HELSINGFORS,HKI,HFORS,1988-10-01,NULL,091,NULL,1990-01-01,Uusimaa ELY Centre,NULL,Södra Finlands Regionalförvaltningsverk,Tvåspråkiga kommuner med finska som flertalets språk,NULL,Urbana kommuner,Helsinki,Uusimaa,Southern Finland AVI,1,11,Helsinki,Urban municipalities,NTM-centralen i Nyland,"Kaksikielinen kunta, enemmistön kieli on suomi",NULL,91,1,Uudenmaan ELY-keskus,Helsingfors,NULL,Helsingfors,1,Uusimaa,Etelä-Suomen Aluehallintovirasto,Kaupunkimaiset kunnat,NULL,Bilingual municipality with Finnish-speaking majority,1,Helsinki,Nyland,1,281
00160,Katajanokka (Helsinki),541136,4577,2135,2442,44,121,170,539,3323,531,830,635,1327,41855,28098,633,1592,1589,2317,"2,0","40,2",163,146,422,107,207,188,145,1086,819,69459,44729,305,974,1025,3579,4541,2097,143,627,285,1177,212,HELSINKI,HELSINGFORS,HKI,HFORS,1988-10-01,NULL,091,NULL,1990-01-01,Uusimaa ELY Centre,NULL,Södra Finlands Regionalförvaltningsverk,Tvåspråkiga kommuner med finska som flertalets språk,NULL,Urbana kommuner,Helsinki,Uusimaa,Southern Finland AVI,1,11,Helsinki,Urban municipalities,NTM-centralen i Nyland,"Kaksikielinen kunta, enemmistön kieli on suomi",NULL,91,1,Uudenmaan ELY-keskus,Helsingfors,NULL,Helsingfors,1,Uusimaa,Etelä-Suomen Aluehallintovirasto,Kaupunkimaiset kunnat,NULL,Bilingual municipality with Finnish-speaking majority,1,Helsinki,Nyland,1,170
00170,Kruununhaka (Helsinki),713343,7495,3482,4013,41,181,253,661,5786,1017,1183,1072,2514,37435,28489,1098,2599,2726,4056,"1,8","38,0",677,263,661,169,327,262,207,2461,958,59722,42093,609,1642,1785,9198,7461,4167,270,892,526,1318,288,HELSINKI,HELSINGFORS,HKI,HFORS,1988-10-01,NULL,091,NULL,1990-01-01,Uusimaa ELY Centre,NULL,Södra Finlands Regionalförvaltningsverk,Tvåspråkiga kommuner med finska som flertalets språk,NULL,Urbana kommuner,Helsinki,Uusimaa,Southern Finland AVI,1,11,Helsinki,Urban municipalities,NTM-centralen i Nyland,"Kaksikielinen kunta, enemmistön kieli on suomi",NULL,91,1,Uudenmaan ELY-keskus,Helsingfors,NULL,Helsingfors,1,Uusimaa,Etelä-Suomen Aluehallintovirasto,Kaupunkimaiset kunnat,NULL,Bilingual municipality with Finnish-speaking majority,1,Helsinki,Nyland,1,253
00180,Kamppi - Ruoholahti (Helsinki),1735293,14020,6741,7279,39,419,487,1901,10129,1679,2861,2244,3345,31986,26037,2084,5755,4106,7749,"1,8","33,6",1328,624,1257,391,683,495,344,4947,1577,49825,37064,1261,3715,2690,20621,13872,7721,645,1683,860,2260,703,HELSINKI,HELSINGFORS,HKI,HFORS,1988-10-01,NULL,091,NULL,1990-01-01,Uusimaa ELY Centre,NULL,Södra Finlands Regionalförvaltningsverk,Tvåspråkiga kommuner med finska som flertalets språk,NULL,Urbana kommuner,Helsinki,Uusimaa,Southern Finland AVI,1,11,Helsinki,Urban municipalities,NTM-centralen i Nyland,"Kaksikielinen kunta, enemmistön kieli on suomi",NULL,91,1,Uudenmaan ELY-keskus,Helsingfors,NULL,Helsingfors,1,Uusimaa,Etelä-Suomen Aluehallintovirasto,Kaupunkimaiset kunnat,NULL,Bilingual municipality with Finnish-speaking majority,1,Helsinki,Nyland,1,487
00190,Suomenlinna (Helsinki),765012,707,347,360,38,19,39,79,445,69,160,74,142,27710,25728,89,288,182,294,"2,4","30,9",14,9,101,18,46,58,35,131,64,50104,44274,38,180,90,446,743,372,36,168,41,101,25,HELSINKI,HELSINGFORS,HKI,HFORS,1988-10-01,NULL,091,NULL,1990-01-01,Uusimaa ELY Centre,NULL,Södra Finlands Regionalförvaltningsverk,Tvåspråkiga kommuner med finska som flertalets språk,NULL,Urbana kommuner,Helsinki,Uusimaa,Southern Finland AVI,1,11,Helsinki,Urban municipalities,NTM-centralen i Nyland,"Kaksikielinen kunta, enemmistön kieli on suomi",NULL,91,1,Uudenmaan ELY-keskus,Helsingfors,NULL,Helsingfors,1,Uusimaa,Etelä-Suomen Aluehallintovirasto,Kaupunkimaiset kunnat,NULL,Bilingual municipality with Finnish-speaking majority,1,Helsinki,Nyland,1,39
00200,Lauttasaari (Helsinki),2619434,15817,7260,8557,40,525,670,1457,11756,1769,2743,2537,4707,34141,27378,1939,6171,5161,8717,"1,8","33,6",1550,762,1609,492,897,662,408,5060,2076,52182,37884,1356,4098,3234,2361,15786,8660,586,2238,917,2882,503,HELSINKI,HELSINGFORS,HKI,HFORS,1988-10-01,NULL,091,NULL,1990-01-01,Uusimaa ELY Centre,NULL,Södra Finlands Regionalförvaltningsverk,Tvåspråkiga kommuner med finska som flertalets språk,NULL,Urbana kommuner,Helsinki,Uusimaa,Southern Finland AVI,1,11,Helsinki,Urban municipalities,NTM-centralen i Nyland,"Kaksikielinen kunta, enemmistön kieli on suomi",NULL,91,1,Uudenmaan ELY-keskus,Helsingfors,NULL,Helsingfors,1,Uusimaa,Etelä-Suomen Aluehallintovirasto,Kaupunkimaiset kunnat,NULL,Bilingual municipality with Finnish-speaking majority,1,Helsinki,Nyland,1,670
