toimipaikka_oid,nimi,nimi_sv,varhaiskasvatuspaikat,jarjestamismuoto_koodi,kasvatusopillinen_jarjestelma_koodi,toimipaikka_kayntiosoite,toimipaikka_kayntiosoite_postinumero,toimipaikka_kayntiosoite_postitoimipaikka,toimintamuoto_koodi,varda_toiminnallinenpainotus.toimintapainotus_kytkin,tp01_musiikki,tp02_liikunta,tp03_kuvataide,tp04_tiede,tp05_draama,tp06_ymparisto_ja_luonto,tp07_seikkailu,tp08_media,tp09_maailmankatsomuksellinen,tp99_muu,kielipainotus_kytkin,kielipainotus_fi,kielipainotus_sv,kielipainotus_en,kielipainotus_muu,alkamis_pvm,paattymis_pvm,jarjestaja_oid,jarjestaja_nimi,jarjestaja_y_tunnus,jarjestaja_yritysmuoto,jarjestaja_ytjkieli,jarjestaja_kayntiosoite,jarjestaja_kayntiosoite_postinumero,jarjestaja_kayntiosoite_postitoimipaikka,jarjestaja_alkamis_pvm,jarjestaja_paattymis_pvm
1.2.246.562.10.10115471889,Otokylän päiväkoti,Otokylän päiväkoti,33,['jm01'],kj98,Otokuja 3,90150,OULU,tm01,False,0,0,0,0,0,1,0,0,0,1,False,1,0,0,,2012-01-01,,1.2.246.562.10.346830761110,Helsingin kaupunki,0201256-6,KUNTA,,Hämeentie 11 A,00530,HELSINGFORS,1978-06-30,
1.2.246.562.10.10120330682,Päiväkoti Pikku-Äijä,Päiväkoti Pikku-Äijä,144,['jm01'],kj98,Äijälänkuja 1,61800,KAUHAJOKI,tm01,False,0,0,0,0,0,0,0,0,0,0,False,1,0,0,,2013-02-28,,1.2.246.562.10.42080013198,Polvijärven kunta,0169823-6,KUNTA,,Polvijärventie 15,83700,POLVIJÄRVI,1978-03-15,
1.2.246.562.10.10174558139,PÄIVÄKOTI PIKKU-TRIMMI,PÄIVÄKOTI PIKKU-TRIMMI,85,['jm01'],kj98,Tuurinkyläntie 44,63610,TUURI,tm01,False,0,0,0,0,0,0,0,1,0,0,False,1,1,0,,2000-01-01,,1.2.246.562.10.25412665926,Tornion kaupunki,0193524-6,KUNTA,,Suensaarenkatu 4,95400,TORNIO,1978-03-15,
1.2.246.562.10.10190088624,Takahuhdin päiväkoti,Takahuhdin päiväkoti,126,['jm01'],kj98,Hintsankatu 4,33560,TAMPERE,tm01,False,0,0,0,0,0,0,0,0,0,0,False,1,0,0,,2015-05-01,,1.2.246.562.10.38794231886,Kinnulan kunta,0242816-6,KUNTA,,Keskustie 45,00000,,1978-12-17,
1.2.246.562.10.10297107582,TUOMAALAN KOULU,TUOMAALAN KOULU,8,['jm01'],kj98,TORISEVANTIE 17,32810,PEIPOHJA,tm01,True,0,0,0,1,0,0,0,0,0,0,True,1,0,0,,2001-11-01,,1.2.246.562.10.56820737825,Turun kaupunki,0204819-8,KUNTA,,Yliopistonkatu 27,20101,ÅBO,1978-06-30,
1.2.246.562.10.10313174400,Simunan päiväkoti,Simunan päiväkoti,128,['jm01'],kj98,Simunantie 10,60200,SEINÄJOKI,tm01,False,0,0,0,0,0,0,0,0,0,0,False,1,0,0,,2009-08-01,,1.2.246.562.10.23652556442,Hattulan kunta,0145801-3,KUNTA,,Myllytie 33,13720,PAROLA,1978-03-15,
1.2.246.562.10.10325444718,PÄIVÄKOTI HIIRENKORVA,PÄIVÄKOTI HIIRENKORVA,74,['jm01'],kj98,PULKKILANTIE 13 B,92600,PULKKILA,tm01,False,0,0,0,0,0,0,0,0,0,0,False,1,0,1,,1975-01-01,,1.2.246.562.10.57993240753,Jakobstads stad,0209242-0,KUNTA,,Strengbergsgatan 1,68600,JAKOBSTAD,1978-06-30,
1.2.246.562.10.10379565145,GENERALSHAGENS SKOLA,GENERALSHAGENS SKOLA,21,['jm01'],kj98,DROTTNINGGATAN 21,07900,LOVISA,tm01,False,0,0,0,0,0,0,0,0,0,0,False,1,0,0,,2013-08-01,,1.2.246.562.10.31167956643,Tuusulan kunta,0131661-3,KUNTA,,Hyryläntie 16,04300,TUUSULA,1978-03-15,
1.2.246.562.10.10476196042,Maaningan päiväkoti,Maaningan päiväkoti,78,['jm01'],kj98,Maaningantie 49 C,71750,MAANINKA,tm01,False,0,0,0,0,0,0,0,0,0,0,False,1,0,0,so,2019-01-01,,1.2.246.562.10.20841697285,Heinäveden kunta,0164308-3,KUNTA,,Kermanrannantie 7,79700,HEINÄVESI,1978-03-15,
1.2.246.562.10.10502714701,Nopon päiväkoti,Nopon päiväkoti,21,['jm01'],kj98,Nopon koulukuja 9,05620,HYVINKÄÄ,tm01,False,0,0,0,0,0,0,0,0,0,0,False,1,0,0,,2005-08-01,,1.2.246.562.10.65347978267,Forssan kaupunki,0145626-1,KUNTA,,Turuntie 18,30100,FORSSA,1978-03-15,
1.2.246.562.10.10517688759,KISAKALLION PÄIVÄKOTI,KISAKALLION PÄIVÄKOTI,75,['jm01'],kj98,TANHUTIE 10,21420,LIETO,tm01,False,1,0,0,0,0,0,0,0,0,0,False,1,0,0,,2018-08-01,,1.2.246.562.10.60868389325,Perhon kunta,0181464-7,KUNTA,,Keskustie 2,69950,PERHO,1978-03-15,
1.2.246.562.10.10566289129,PÄIVÄKOTI LAMPAANPOLSKA,PÄIVÄKOTI LAMPAANPOLSKA,128,['jm01'],kj98,OINASKATU 8,04430,JÄRVENPÄÄ,tm01,False,0,0,0,0,0,0,0,0,0,0,False,0,0,0,,1990-01-01,,1.2.246.562.10.170868645710,Kärsämäen kunta,0186511-0,KUNTA,,Haapajärventie 1,86710,KÄRSÄMÄKI,1978-03-15,
1.2.246.562.10.10574912373,Päiväkoti Helmi,Päiväkoti Helmi,133,['jm01'],kj98,Tilanomistajantie 2,06400,PORVOO,tm01,False,0,0,0,0,0,0,0,0,0,0,False,1,0,0,,2018-05-15,,1.2.246.562.10.895479029510,Lopen kunta,0150919-1,KUNTA,,YHDYSTIE 5,12700,LOPPI,1978-03-15,
1.2.246.562.10.10706370219,KELLOSEPÄN PÄIVÄKOTI,KELLOSEPÄN PÄIVÄKOTI,99,['jm01'],kj98,KELLOSEPÄNKATU 19,44200,SUOLAHTI,tm01,False,0,0,0,0,0,0,0,0,0,0,True,1,0,0,,2015-08-03,,1.2.246.562.10.72694583476,Mynämäen kunta,2048364-4,KUNTA,,Keskuskatu 21,23100,MYNÄMÄKI,2006-07-13,
1.2.246.562.10.10752996818,Vuorentaustan päiväkoti,Vuorentaustan päiväkoti,63,['jm01'],kj98,Välimäenkuja 8,33430,VUORENTAUSTA,tm01,False,0,0,0,0,0,0,0,0,0,0,False,1,0,1,,2006-01-01,,1.2.246.562.10.48894802817,Kristinestad stad,0216509-5,KUNTA,,Rådhuset,64101,KRISTIINANKAUPUNKI,1978-09-18,
1.2.246.562.10.10771238911,Parolanpolun päivähoitoyksikkö,Parolanpolun päivähoitoyksikkö,84,['jm01'],kj98,Parolanpolku 9,20360,TURKU,tm01,False,0,0,0,0,0,0,0,0,0,0,False,1,0,0,,2004-01-01,,1.2.246.562.10.65030953759,Muonion kunta,0191824-3,KUNTA,,Puthaanrannantie 15,99300,MUONIO,1978-03-15,
